"Time","20.29.43.19:9100direction: rx gpu_index: 0"
2026-04-17 18:53:45,31.1 MB/s
2026-04-17 18:54:00,45.0 kB/s
2026-04-17 18:54:15,45.0 kB/s
2026-04-17 18:54:30,1.49 GB/s
2026-04-17 18:54:45,49.1 kB/s
2026-04-17 18:55:00,1.23 MB/s
2026-04-17 18:55:15,1.19 MB/s
2026-04-17 18:55:30,42.9 kB/s
2026-04-17 18:55:45,29.6 MB/s
2026-04-17 18:56:00,23.3 MB/s
2026-04-17 18:56:15,33.6 MB/s
2026-04-17 18:56:30,36.1 MB/s
2026-04-17 18:56:45,36.4 MB/s
2026-04-17 18:57:00,31.6 MB/s
2026-04-17 18:57:15,35.6 MB/s
2026-04-17 18:57:30,28.2 MB/s
2026-04-17 18:57:45,43.5 kB/s
2026-04-17 18:58:00,36.5 MB/s
2026-04-17 18:58:15,32.5 MB/s
2026-04-17 18:58:30,28.0 MB/s
2026-04-17 18:58:45,44.0 kB/s
2026-04-17 18:59:00,43.5 kB/s
2026-04-17 18:59:15,34.9 MB/s
2026-04-17 18:59:30,30.5 MB/s
2026-04-17 18:59:45,28.9 MB/s
2026-04-17 19:00:00,34.9 MB/s
2026-04-17 19:00:15,31.1 MB/s
2026-04-17 19:00:30,33.1 MB/s
2026-04-17 19:00:45,9.86 MB/s
2026-04-17 19:01:00,6.55 MB/s
2026-04-17 19:01:15,31.8 MB/s
2026-04-17 19:01:30,21.2 MB/s
2026-04-17 19:01:45,28.4 MB/s
2026-04-17 19:02:00,33.9 MB/s
2026-04-17 19:02:15,31.4 MB/s
